ID;Тип;Центр_X;Центр_Y;Центр_Z;Точек;Ширина;Высота;Глубина;Плотность
0;CAR;-5.333307;1.438892;0.667678;1006;1.930;1.022;3.734;136.507
1;UNKNOWN;-6.440702;-1.891749;0.798468;240;1.640;0.941;1.878;82.762
2;UNKNOWN;-5.432383;-2.803302;0.802637;60;0.920;0.766;0.989;86.162
3;UNKNOWN;-4.498754;-8.437958;1.064240;108;2.320;1.760;2.693;9.818
4;UNKNOWN;-4.501089;-2.809988;0.658860;229;1.594;0.850;1.941;87.069
5;UNKNOWN;-5.745949;-12.238757;2.006710;56;1.927;1.113;1.578;16.544
6;UNKNOWN;-5.464050;-12.792684;0.923877;64;2.835;1.287;1.389;12.630
7;CYCLIST;10.453636;3.927306;1.062211;103;1.039;1.578;1.213;51.771
8;UNKNOWN;10.218966;4.149810;0.340084;40;0.773;0.276;0.982;191.178
9;UNKNOWN;-14.601295;11.869891;3.247622;41;1.854;0.990;1.923;11.615
10;UNKNOWN;-4.685569;4.340075;0.750656;73;0.281;0.898;0.204;1419.275
11;UNKNOWN;-4.703233;8.459618;0.806194;59;1.262;1.190;1.969;19.943
12;UNKNOWN;-4.707154;9.142336;0.446115;56;1.433;0.770;1.133;44.816
13;CYCLIST;-3.805032;9.306868;1.269792;76;1.229;1.461;1.757;24.090
14;CYCLIST;8.086928;11.365111;1.404857;51;1.199;1.680;1.517;16.690
15;UNKNOWN;9.862848;12.409247;2.698899;56;2.367;1.236;1.247;15.356
